Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.13    592.73     0.86 70820377     0.00     0.00  R_BufferData_Store
  0.13    593.58     0.86 28354950     0.00     0.00  VM_GenerateFrameGroupBlend
  0.13    594.42     0.84 54831581     0.00     0.00  CL_LinkEdict
  0.12    595.25     0.83 17459268     0.00     0.00  R_Shadow_CalcBBoxSideMask
  0.12    596.05     0.80 183955605     0.00     0.00  Matrix4x4_Transform
  0.12    596.85     0.80 199525289     0.00     0.00  Font_GetMapForChar
  0.12    597.64     0.79 17875562     0.00     0.00  Cvar_FindVar
  0.12    598.42     0.78  8037745     0.00     0.00  CL_TraceBox
  0.11    599.15     0.73 19726409     0.00     0.00  CL_UpdateEntityShading_Entity
  0.11    599.88     0.73   198830     0.00     0.00  S_Update
  0.11    600.59     0.71 87939925     0.00     0.00  CL_GetModelFromEdict
  0.11    601.30     0.71       84     0.01     0.01  Font_LoadMap
  0.11    602.00     0.71 63322250     0.00     0.00  VM_bufstr_get
  0.11    602.71     0.71 57108556     0.00     0.00  R_Mesh_ColorPointer
  0.11    603.41     0.70   192098     0.00     0.00  Mod_AllocLightmap_Reset
  0.10    604.10     0.70 43755613     0.00     0.00  u8_bytelen
  0.10    604.79     0.69 59118990     0.00     0.00  AngleVectors
  0.10    605.48     0.69     2005     0.00     0.00  R_SkinFrame_LoadExternal_SkinFrame
  0.10    606.16     0.68 96805170     0.00     0.00  Matrix4x4_ToArrayFloatGL
  0.10    606.83     0.67     1645     0.00     0.00  JPEG_LoadImage_BGRA
  0.10    607.49     0.66 32159524     0.00     0.00  R_DrawTextureSurfaceList_GL20
  0.10    608.15     0.66    53804     0.00     0.00  CL_SelectTraceLine
  0.10    608.81     0.66 21898337     0.00     0.00  Draw_CachePic_Flags
  0.10    609.46     0.66 24482702     0.00     0.00  CL_GetTagMatrix
  0.10    610.10     0.64  6533804     0.00     0.00  Collision_Init
  0.10    610.74     0.64 242893679     0.00     0.00  u8_getnchar_utf8_enabled
  0.10    611.37     0.63  5008485     0.00     0.00  CL_NewParticle
  0.09    611.98     0.62 44882720     0.00     0.00  R_SetupShader_SetPermutationGLSL
  0.09    612.59     0.61 98106045     0.00     0.00  Mod_Mesh_AddSurface
  0.09    613.18     0.60 443097662     0.00     0.00  PRVM_GetString
  0.09    613.78     0.60 54001069     0.00     0.00  Collision_ClipPointToWorld
  0.09    614.37     0.59 59163902     0.00     0.00  R_EvaluateQ3WaveFunc
  0.09    614.95     0.58  7387023     0.00     0.00  VM_CL_skel_build
  0.09    615.53     0.58 15335971     0.00     0.00  Collision_BrushForBox
  0.09    616.09     0.57 62899172     0.00     0.00  VM_ftoe
  0.08    616.65     0.56  1299195     0.00     0.00  R_Mod_DrawLight
  0.08    617.20     0.55 22520602     0.00     0.00  Collision_TraceLineTriangleFloat
  0.08    617.75     0.55     4923     0.00     0.00  Image_MipReduce32
  0.08    618.30     0.55  1689612     0.00     0.00  VM_CL_getinputstate
  0.08    618.85     0.55 12752068     0.00     0.00  Matrix4x4_Invert_Full
  0.08    619.38     0.53 34361979     0.00     0.00  AnglesFromVectors
  0.08    619.91     0.53 196197512     0.00     0.00  Mod_Mesh_AddTriangle
  0.08    620.43     0.52  4088181     0.00     0.00  R_Mesh_SetRenderTargets
  0.08    620.95     0.52      108     0.00     0.00  R_SkinFrame_LoadInternalBGRA
  0.08    621.45     0.51 25111613     0.00     0.00  CL_GetEntityMatrix
  0.08    621.95     0.50  9738381     0.00     0.00  VM_CL_R_SetView
  0.07    622.44     0.49 156991874     0.00     0.00  PRVM_SetTempString
  0.07    622.91     0.47 27630658     0.00     0.00  R_EntityMatrix
  0.07    623.38     0.47      376     0.00     0.00  Mod_Alias_CalculateBoundingBox
  0.07    623.84     0.46  9397409     0.00     0.00  VM_CL_skel_get_boneabs
  0.07    624.28     0.44  7354972     0.00     0.00  Collision_TracePointBrushFloat
  0.06    624.71     0.43                             R_Q1BSP_GetLightInfo_comparefunc
  0.06    625.13     0.42 58437554     0.00     0.00  GL_CullFace
  0.06    625.54     0.41   914313     0.00     0.00  Mod_BSP_GetPVS
  0.06    625.95     0.41  1514653     0.00     0.00  R_Shadow_PrepareLight
  0.06    626.36     0.41 48710587     0.00     0.00  GL_BlendFunc
  0.06    626.75     0.39 30818461     0.00     0.00  R_DrawModelTextureSurfaceList
  0.06    627.14     0.39   191775     0.00     0.00  R_Shadow_DrawShadowMaps
  0.06    627.52     0.38  1576045     0.00     0.00  COM_Wordwrap
  0.06    627.89     0.37 70352916     0.00     0.00  Mod_CollisionBIH_TraceLine
  0.06    628.26     0.37 67719126     0.00     0.00  Mem_ExpandableArray_RecordAtIndex
  0.05    628.62     0.36   192607     0.00     0.00  SCR_DrawScreen
  0.05    628.97     0.35 38843037     0.00     0.00  Matrix4x4_Transform3x3
  0.05    629.32     0.35  6512905     0.00     0.00  noise4f
  0.05    629.66     0.34 13132064     0.00     0.00  R_CalcBeam_Vertex3f
  0.05    629.99     0.33    27807     0.00     0.00  CSQC_UpdateNetworkTimes
  0.05    630.31     0.33   375959     0.00     0.00  PRVM_GarbageCollection
  0.05    630.62     0.31 29619672     0.00     0.00  Matrix4x4_Invert_Simple
  0.05    630.93     0.31 46437970     0.00     0.00  VM_CL_makevectors
  0.05    631.23     0.30      224     0.00     0.00  PNG_LoadImage_BGRA
  0.04    631.52     0.29 31891824     0.00     0.00  Matrix4x4_CreateFromQuakeEntity
  0.04    631.80     0.28  1953211     0.00     0.00  VM_sprintf
  0.04    632.07     0.27 65423023     0.00     0.00  VM_stof
  0.04    632.34     0.27   199499     0.00     0.00  R_View_Update
  0.04    632.61     0.27  1886976     0.00     0.00  CL_ParticleEffectIndexForName
  0.04    632.87     0.26 48839555     0.00     0.00  Matrix4x4_CreateIdentity
